,RK,NAME,TEAM,SALARY,Yr
0,1,"Shaquille O'Neal, C",Los Angeles Lakers,"$17,142,000",2000
1,2,"Kevin Garnett, PF",Minnesota Timberwolves,"$16,806,000",2000
2,3,"Alonzo Mourning, C",Miami Heat,"$15,004,000",2000
3,4,"Juwan Howard, PF",Washington Wizards,"$15,000,000",2000
4,5,"Scottie Pippen, SF",Portland Trail Blazers,"$14,795,000",2000
5,6,"Karl Malone, PF",Utah Jazz,"$14,000,000",2000
6,7,"Larry Johnson, F",New York Knicks,"$11,910,000",2000
7,8,"Gary Payton, PG",Seattle SuperSonics,"$11,020,000",2000
8,9,"Rasheed Wallace, PF",Portland Trail Blazers,"$10,800,000",2000
9,10,"Shawn Kemp, C",Cleveland Cavaliers,"$10,780,000",2000
10,11,"Damon Stoudamire, PG",Portland Trail Blazers,"$10,125,000",2000
11,12,"Antonio McDyess, PF",Denver Nuggets,"$9,900,000",2000
12,13,"Ray Allen, SG",Milwaukee Bucks,"$9,000,000",2000
13,14,"Antoine Walker, PF",Boston Celtics,"$9,000,000",2000
14,15,"Stephon Marbury, PG",New Jersey Nets,"$9,000,000",2000
15,16,"Vlade Divac, C",Sacramento Kings,"$8,837,000",2000
16,17,"Bryant Reeves, C",Vancouver Grizzlies,"$8,666,000",2000
17,18,"Tom Gugliotta, PF",Phoenix Suns,"$8,558,000",2000
18,19,"Nick Van Exel, PG",Denver Nuggets,"$8,354,000",2000
19,20,"Elden Campbell, C",Charlotte Hornets,"$7,975,000",2000
20,21,"Terrell Brandon, PG",Minnesota Timberwolves,"$7,400,000",2000
21,22,"Derrick Coleman, PF",Charlotte Hornets,"$7,370,000",2000
22,23,"Glenn Robinson, SF",Milwaukee Bucks,"$7,250,000",2000
23,24,"Steve Smith, SG",Portland Trail Blazers,"$7,200,000",2000
24,25,"Kerry Kittles, SG",New Jersey Nets,"$7,166,000",2000
25,26,"Chris Dudley, C",New York Knicks,"$7,100,000",2000
26,27,"Theo Ratliff, C",Philadelphia 76ers,"$7,031,000",2000
27,28,"Matt Geiger, C",Philadelphia 76ers,"$6,889,000",2000
28,29,"Jason Kidd, PG",Phoenix Suns,"$6,858,000",2000
29,30,"Kenny Anderson, PG",Boston Celtics,"$6,680,000",2000
30,31,"Tyrone Hill, PF",Philadelphia 76ers,"$6,422,000",2000
31,32,"Clifford Robinson, PF",Phoenix Suns,"$6,125,000",2000
32,33,"Jamal Mashburn, SF",Miami Heat,"$5,600,000",2000
33,34,"Steve Nash, PG",Dallas Mavericks,"$5,500,000",2000
34,35,"Alan Henderson, PF",Atlanta Hawks,"$5,318,000",2000
35,36,"Donyell Marshall, PF",Golden State Warriors,"$5,250,000",2000
36,37,"Marcus Camby, C",New York Knicks,"$5,250,000",2000
37,38,"Greg Ostertag, C",Utah Jazz,"$5,200,000",2000
38,39,"Luc Longley, C",Phoenix Suns,"$5,175,000",2000
39,40,"P.J. Brown, PF",Miami Heat,"$5,124,000",2000
0,41,"Jermaine O'Neal, C",Portland Trail Blazers,"$5,075,000",2000
1,42,"Erick Dampier, C",Golden State Warriors,"$4,988,000",2000
2,43,"Wesley Person, SF",Cleveland Cavaliers,"$4,900,000",2000
3,44,"Isaac Austin, C",Washington Wizards,"$4,819,000",2000
4,45,"Loy Vaught, F",Detroit Pistons,"$4,810,000",2000
5,46,"Derrick McKey, F",Indiana Pacers,"$4,800,000",2000
6,47,"Robert Horry, PF",Los Angeles Lakers,"$4,800,000",2000
7,48,"Jim McIlvaine, C",New Jersey Nets,"$4,800,000",2000
8,49,"Jerry Stackhouse, SF",Detroit Pistons,"$4,781,000",2000
9,50,"Charlie Ward, PG",New York Knicks,"$4,540,000",2000
10,51,"Dale Davis, PF",Indiana Pacers,"$4,490,000",2000
11,52,"Lorenzen Wright, PF",Atlanta Hawks,"$4,400,000",2000
12,53,"Mookie Blaylock, G",Golden State Warriors,"$4,200,000",2000
13,54,"Chris Mills, SF",Golden State Warriors,"$4,200,000",2000
14,55,"Chris Childs, G",New York Knicks,"$4,160,000",2000
15,56,"Darrell Armstrong, PG",Orlando Magic,"$4,125,000",2000
16,57,"Bryon Russell, SF",Utah Jazz,"$4,000,000",2000
17,58,"Brent Barry, SG",Seattle SuperSonics,"$3,960,000",2000
18,59,"Jason Caffey, F",Golden State Warriors,"$3,937,000",2000
19,60,"Vitaly Potapenko, C",Boston Celtics,"$3,810,000",2000
20,61,"Bob Sura, PG",Cleveland Cavaliers,"$3,760,000",2000
21,62,"Walt Williams, F",Houston Rockets,"$3,750,000",2000
22,63,"Scott Williams, C",Milwaukee Bucks,"$3,750,000",2000
23,64,"Sam Cassell, PG",Milwaukee Bucks,"$3,500,000",2000
24,65,"Michael Olowokandi, C",Los Angeles Clippers,"$3,456,000",2000
25,66,"Elton Brand, PF",Chicago Bulls,"$3,375,000",2000
26,67,"Eric Williams, PF",Boston Celtics,"$3,336,000",2000
27,68,"Travis Best, PG",Indiana Pacers,"$3,250,000",2000
28,69,"Michael Stewart, PF",Toronto Raptors,"$3,200,000",2000
29,70,"Derek Strong, F",Orlando Magic,"$3,159,000",2000
30,71,"Mike Bibby, PG",Vancouver Grizzlies,"$3,092,000",2000
31,72,"Rick Fox, SF",Los Angeles Lakers,"$3,033,000",2000
32,73,"Steve Francis, PG",Houston Rockets,"$3,020,000",2000
33,74,"Derek Fisher, PG",Los Angeles Lakers,"$3,000,000",2000
34,75,"Eric Snow, PG",Philadelphia 76ers,"$3,000,000",2000
35,76,"Ervin Johnson, C",Milwaukee Bucks,"$2,951,000",2000
36,77,"Brent Price, G",Vancouver Grizzlies,"$2,944,000",2000
37,78,"Travis Knight, C",Los Angeles Lakers,"$2,800,000",2000
38,79,"Raef LaFrentz, C",Denver Nuggets,"$2,777,000",2000
39,80,"Tracy Murray, SF",Washington Wizards,"$2,720,000",2000
0,81,"Tyrone Nesby, F",Los Angeles Clippers,"$2,716,000",2000
1,82,"Baron Davis, PG",Charlotte Hornets,"$2,712,000",2000
2,83,"Vonteego Cummings, PG",Golden State Warriors,"$2,600,000",2000
3,84,"David Wesley, SG",Charlotte Hornets,"$2,520,000",2000
4,85,"Dean Garrett, C",Minnesota Timberwolves,"$2,520,000",2000
5,86,"Antawn Jamison, PF",Golden State Warriors,"$2,503,000",2000
6,87,"Walter McCarty, PF",Boston Celtics,"$2,500,000",2000
7,88,"Anthony Peeler, SG",Minnesota Timberwolves,"$2,495,000",2000
8,89,"Lamar Odom, PF",Los Angeles Clippers,"$2,445,000",2000
9,90,"Cedric E. Henderson, F",Cleveland Cavaliers,"$2,400,000",2000
10,91,"Lawrence Funderburke, PF",Sacramento Kings,"$2,400,000",2000
11,92,"Lindsey Hunter, SG",Detroit Pistons,"$2,350,000",2000
12,93,"Malik Rose, PF",San Antonio Spurs,"$2,285,000",2000
13,94,"Vince Carter, SG",Toronto Raptors,"$2,267,000",2000
14,95,"Jonathan Bender, SF",Indiana Pacers,"$2,214,000",2000
15,96,"Dell Curry, G",Toronto Raptors,"$2,100,000",2000
16,97,"Robert Traylor, PF",Milwaukee Bucks,"$2,059,000",2000
17,98,"Othella Harrington, PF",Vancouver Grizzlies,"$2,025,000",2000
18,99,"Wally Szczerbiak, SG",Minnesota Timberwolves,"$2,011,000",2000
19,100,"Terry Porter, G",San Antonio Spurs,"$2,000,000",2000
20,101,"Rodney Rogers, SF",Phoenix Suns,"$2,000,000",2000
21,102,"Jamie Feick, F",New Jersey Nets,"$2,000,000",2000
22,103,"Eric Montross, C",Detroit Pistons,"$2,000,000",2000
23,104,"Chris Crawford, SF",Atlanta Hawks,"$2,000,000",2000
24,105,"Steve Kerr, G",San Antonio Spurs,"$1,968,000",2000
25,106,"Vinny Del Negro, G",Milwaukee Bucks,"$1,925,000",2000
26,107,"Sean Rooks, C",Dallas Mavericks,"$1,920,000",2000
27,108,"Lucious Harris, SG",New Jersey Nets,"$1,920,000",2000
28,109,"Jason Williams, PG",Sacramento Kings,"$1,879,000",2000
29,110,"Richard Hamilton, SG",Washington Wizards,"$1,836,000",2000
30,111,"Larry Hughes, SG",Philadelphia 76ers,"$1,722,000",2000
31,112,"Andre Miller, PG",Cleveland Cavaliers,"$1,682,000",2000
32,113,"Dirk Nowitzki, PF",Dallas Mavericks,"$1,583,000",2000
33,114,"Shawn Marion, SG",Phoenix Suns,"$1,546,000",2000
34,115,"Paul Pierce, SF",Boston Celtics,"$1,503,000",2000
35,116,"Jason Terry, SG",Atlanta Hawks,"$1,468,000",2000
36,117,"Bonzi Wells, SG",Portland Trail Blazers,"$1,428,000",2000
37,118,"Trajan Langdon, SG",Cleveland Cavaliers,"$1,394,000",2000
38,119,"Aleksandar Radojevic, C",Toronto Raptors,"$1,325,000",2000
39,120,"Keon Clark, PF",Denver Nuggets,"$1,289,000",2000
0,121,"Corey Maggette, SF",Orlando Magic,"$1,259,000",2000
1,122,"Michael Dickerson, G",Vancouver Grizzlies,"$1,224,000",2000
2,123,"Will Avery, G",Minnesota Timberwolves,"$1,196,000",2000
3,124,"Matt Harpring, SF",Orlando Magic,"$1,163,000",2000
4,125,"Eldridge Recasner, G",Charlotte Hornets,"$1,100,000",2000
5,126,"Metta World Peace, SF",Chicago Bulls,"$1,079,000",2000
6,127,"Rasho Nesterovic, C",Minnesota Timberwolves,"$1,050,000",2000
7,128,"Cal Bowdler, F",Atlanta Hawks,"$1,025,000",2000
8,129,"James Posey, SF",Denver Nuggets,"$974,000",2000
9,130,"Pat Garrity, PF",Orlando Magic,"$952,000",2000
10,131,"Quincy Lewis, SG",Utah Jazz,"$930,000",2000
11,132,"Roshown McLeod, F",Atlanta Hawks,"$914,000",2000
12,133,"Dion Glover, SG",Atlanta Hawks,"$893,000",2000
13,134,"Ricky Davis, SG",Charlotte Hornets,"$878,000",2000
14,135,"Greg Foster, C",Seattle SuperSonics,"$857,000",2000
15,136,"Jeff Foster, PF",Indiana Pacers,"$857,000",2000
16,137,"Brian Skinner, PF",Los Angeles Clippers,"$843,000",2000
17,138,"Kenny Thomas, PF",Houston Rockets,"$823,000",2000
18,139,"Devean George, SF",Los Angeles Lakers,"$790,000",2000
19,140,"Al Harrington, PF",Indiana Pacers,"$745,000",2000
20,141,"Tim James, F",Miami Heat,"$728,000",2000
21,142,"Jumaine Jones, SF",Philadelphia 76ers,"$684,000",2000
22,143,"Scott Padgett, PF",Utah Jazz,"$679,000",2000
23,144,"Rafer Alston, PG",Milwaukee Bucks,"$301,000",2000
0,1,"Kevin Garnett, PF",Minnesota Timberwolves,"$19,600,000",2001
1,2,"Shaquille O'Neal, C",Los Angeles Lakers,"$19,285,000",2001
2,3,"Alonzo Mourning, C",Miami Heat,"$16,879,000",2001
3,4,"Juwan Howard, PF",Washington Wizards,"$16,875,000",2001
4,5,"Hakeem Olajuwon, C",Houston Rockets,"$16,685,000",2001
5,6,"Karl Malone, PF",Utah Jazz,"$15,750,000",2001
6,7,"Dikembe Mutombo, C",Philadelphia 76ers,"$14,422,000",2001
7,8,"Patrick Ewing, C",Seattle SuperSonics,"$14,000,000",2001
8,9,"David Robinson, C",San Antonio Spurs,"$13,196,000",2001
9,10,"Scottie Pippen, SF",Portland Trail Blazers,"$13,151,000",2001
10,11,"Rasheed Wallace, PF",Portland Trail Blazers,"$12,600,000",2001
11,12,"Larry Johnson, F",New York Knicks,"$12,485,000",2001
12,13,"Gary Payton, PG",Seattle SuperSonics,"$12,200,000",2001
13,14,"Tim Hardaway, G",Miami Heat,"$12,000,000",2001
14,15,"Chris Webber, C",Sacramento Kings,"$12,000,000",2001
15,16,"Shawn Kemp, C",Portland Trail Blazers,"$11,720,000",2001
16,17,"Damon Stoudamire, PG",Portland Trail Blazers,"$11,250,000",2001
17,18,"John Stockton, G",Utah Jazz,"$11,000,000",2001
18,19,"Antonio McDyess, PF",Denver Nuggets,"$10,800,000",2001
19,20,"Reggie Miller, SG",Indiana Pacers,"$10,666,000",2001
20,21,"Arvydas Sabonis, C",Portland Trail Blazers,"$10,636,000",2001
21,22,"Penny Hardaway, SF",Phoenix Suns,"$10,130,000",2001
22,23,"Zydrunas Ilgauskas, C",Cleveland Cavaliers,"$10,130,000",2001
23,24,"Stephon Marbury, PG",New Jersey Nets,"$10,130,000",2001
24,25,"Ray Allen, SG",Milwaukee Bucks,"$10,125,000",2001
25,26,"Vin Baker, PF",Seattle SuperSonics,"$10,125,000",2001
26,27,"Antoine Walker, PF",Boston Celtics,"$10,125,000",2001
27,28,"Kobe Bryant, SF",Los Angeles Lakers,"$10,125,000",2001
28,29,"Bryant Reeves, C",Vancouver Grizzlies,"$10,110,000",2001
29,30,"Tim Duncan, C",San Antonio Spurs,"$9,658,000",2001
30,31,"Tracy McGrady, SG",Orlando Magic,"$9,658,000",2001
31,32,"Grant Hill, SF",Orlando Magic,"$9,658,000",2001
32,33,"Vlade Divac, C",Sacramento Kings,"$9,641,000",2001
33,34,"Tom Gugliotta, PF",Phoenix Suns,"$9,336,000",2001
34,35,"Allan Houston, SG",New York Knicks,"$9,000,000",2001
35,36,"Keith Van Horn, PF",New Jersey Nets,"$9,000,000",2001
36,37,"Eddie Jones, SG",Miami Heat,"$8,960,000",2001
37,38,"Brian Grant, PF",Miami Heat,"$8,897,000",2001
38,39,"Tim Thomas, PF",Milwaukee Bucks,"$8,507,000",2001
39,40,"Michael Finley, SG",Dallas Mavericks,"$8,400,000",2001
0,41,"Shawn Bradley, C",Dallas Mavericks,"$8,370,000",2001
1,42,"Terrell Brandon, PG",Minnesota Timberwolves,"$8,325,000",2001
2,43,"Nick Van Exel, PG",Denver Nuggets,"$8,184,000",2001
3,44,"Glenn Robinson, SF",Milwaukee Bucks,"$8,120,000",2001
4,45,"Steve Smith, SG",Portland Trail Blazers,"$8,100,000",2001
5,46,"Elden Campbell, C",Charlotte Hornets,"$8,050,000",2001
6,47,"Derrick Coleman, PF",Charlotte Hornets,"$8,040,000",2001
7,48,"Avery Johnson, PG",San Antonio Spurs,"$8,000,000",2001
8,49,"Horace Grant, C",Los Angeles Lakers,"$7,843,000",2001
9,50,"Theo Ratliff, C",Philadelphia 76ers,"$7,800,000",2001
10,51,"Jason Kidd, PG",Phoenix Suns,"$7,630,000",2001
11,52,"Glen Rice, SF",New York Knicks,"$7,578,000",2001
12,53,"Kenny Anderson, PG",Boston Celtics,"$7,520,000",2001
13,54,"Matt Geiger, C",Philadelphia 76ers,"$7,515,000",2001
14,55,"Tyrone Hill, PF",Philadelphia 76ers,"$7,415,000",2001
15,56,"Toni Kukoc, SF",Philadelphia 76ers,"$7,167,000",2001
16,57,"Clifford Robinson, PF",Phoenix Suns,"$6,890,000",2001
17,58,"Christian Laettner, PF",Washington Wizards,"$6,625,000",2001
18,59,"Chris Dudley, C",Phoenix Suns,"$6,200,000",2001
19,60,"Jamal Mashburn, SF",Charlotte Hornets,"$6,200,000",2001
20,61,"Dale Davis, PF",Portland Trail Blazers,"$6,175,000",2001
21,62,"Alan Henderson, PF",Atlanta Hawks,"$5,909,000",2001
22,63,"P.J. Brown, PF",Charlotte Hornets,"$5,764,000",2001
23,64,"Luc Longley, C",New York Knicks,"$5,750,000",2001
24,65,"Marcus Camby, C",New York Knicks,"$5,750,000",2001
25,66,"Jermaine O'Neal, C",Indiana Pacers,"$5,700,000",2001
26,67,"Donyell Marshall, PF",Utah Jazz,"$5,630,000",2001
27,68,"Bryant Stith, G",Boston Celtics,"$5,620,000",2001
28,69,"Erick Dampier, C",Golden State Warriors,"$5,611,000",2001
29,70,"Wesley Person, SF",Cleveland Cavaliers,"$5,600,000",2001
30,71,"Anthony Mason, F",Miami Heat,"$5,553,000",2001
31,72,"Ron Mercer, SG",Chicago Bulls,"$5,515,000",2001
32,73,"Isaac Austin, C",Vancouver Grizzlies,"$5,500,000",2001
33,74,"Antonio Davis, PF",Toronto Raptors,"$5,500,000",2001
34,75,"Steve Nash, PG",Dallas Mavericks,"$5,500,000",2001
35,76,"Kelvin Cato, C",Houston Rockets,"$5,400,000",2001
36,77,"Derrick McKey, F",Indiana Pacers,"$5,400,000",2001
37,78,"Jim McIlvaine, C",New Jersey Nets,"$5,400,000",2001
38,79,"Sean Elliott, F",San Antonio Spurs,"$5,333,000",2001
39,80,"Robert Horry, PF",Los Angeles Lakers,"$5,300,000",2001
0,81,"Austin Croshere, PF",Indiana Pacers,"$5,298,000",2001
1,82,"Greg Ostertag, C",Utah Jazz,"$5,200,000",2001
2,83,"Jerry Stackhouse, SF",Detroit Pistons,"$5,000,000",2001
3,84,"Charlie Ward, PG",New York Knicks,"$5,000,000",2001
4,85,"Lorenzen Wright, PF",Atlanta Hawks,"$4,950,000",2001
5,86,"Loy Vaught, F",Washington Wizards,"$4,812,000",2001
6,87,"Mookie Blaylock, G",Golden State Warriors,"$4,800,000",2001
7,88,"Chris Mills, SF",Golden State Warriors,"$4,800,000",2001
8,89,"Chris Childs, G",Toronto Raptors,"$4,680,000",2001
9,90,"Bryon Russell, SF",Utah Jazz,"$4,570,000",2001
10,91,"Bo Outlaw, PF",Orlando Magic,"$4,500,000",2001
11,92,"Tariq Abdul-Wahad, SF",Denver Nuggets,"$4,500,000",2001
12,93,"Bob Sura, PG",Golden State Warriors,"$4,386,000",2001
13,94,"Jason Caffey, F",Milwaukee Bucks,"$4,375,000",2001
14,95,"Robert Pack, PG",Denver Nuggets,"$4,320,000",2001
